Library,Postal_Code,Square_Feet,Phone_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Location,Address
Seton Library,T3M 2P9,,403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (50.881189, -113.9441792)",4995 Market St SE
Central Library,T2G 2E7,"240,000",403-260-2600,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (51.0455118, -114.0551754)",800 3 St SE
Quarry Park Library,T2C 5R1,,403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (50.9615878, -114.0060594)",108 Quarry Park Rd SE
Sage Hill Library,T3R 0S4,,403-260-2600,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.1689113, -114.1471029)",19 Sage Hill NW
Rocky Ridge Library,T3G 5H3,,403-260-2600,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,5:30,22:00,7:00,20:00,7:00,20:00,"    (51.157048, -114.2312213)",11300 Rocky Ridge Rd NW
Giuffre Family Library,T2T 3V8,,403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.0254458, -114.0955034)",3223 14 St SW
Nicholls Family Library,T3C 1P2,,403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (51.0404114, -114.1358227)",1421 33 St SW
Louise Riley Library,T2N 1M5,"14,191",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.0652428, -114.1038132)",1904 14 Av NW
Village Square Library,T1Y 6E7,"19,064",403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (51.0753708, -113.9525833)",2623 56 St NE
Judith Umbach Library,T2K 4Y5,"7,921",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.1121979, -114.0633087)",6617 Centre St NW
Forest Lawn Branch,T2A 4M1,"16,977",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.045105, -113.9652023)",4807 8 Av SE
Shawnessy Library,T2Y 4H3,"18,847",403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (50.8986015, -114.062851)",333 Shawville SE
Signal Hill Library,T3H 3P8,"18,470",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.0181122, -114.1756439)",5994 Signal Hill SW
Southwood Library,T2W 0J9,"6,779",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (50.963623, -114.0860367)",924 Southland Dr SW
Nose Hill Library,T2L 0G6,"17,782",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.0960922, -114.1391296)",1530 Northmount Dr NW
Country Hills Library,T3K 6E3,"18,127",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.159462, -114.0675659)",388 Country Hills Bv NE
Crowfoot Library,T3G 5T3,"28,506",403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (51.1295815, -114.1926956)",8685 Nose hill Dr NW
Memorial Park Library,T2R 0W5,"19,397",403-260-2600,10:00,17:00,12:00,20:00,12:00,20:00,12:00,20:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.0412674, -114.0683823)",1221 2 St SW
Bowness Library,T3B 0H3,"7,800",403-260-2600,13:00,20:00,10:00,20:00,10:00,20:00,10:00,17:00,10:00,17:00,10:00,17:00,12:00,17:00,"    (51.0872841, -114.1830978)",7930 Bowness Rd NW
Fish Creek Library,T2J 6S1,"47,074",403-260-2600,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,9:00,17:00,12:00,17:00,"    (50.9516296, -114.0603409)",11161 Bonaventure Dr SE
Saddletowne Library,T3J 0C9,"18,783",403-260-2600,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,17:00,12:00,17:00,"    (51.1196709, -113.9485092)",7556 Falconridge Bl NE
Prototype: Skyview,T3N 1A8,,403-260-2600,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,18:00,10:00,17:00,12:00,17:00,,1620 6004 Country Hills Blvd NE
